"Rockerboy"; 1; "Kleinen Garagengig gespielt"; 200; 300; 600
"Rockerboy"; 2; "Diese Woche hat echt nix funktioniert"; 0; 100; 300
"Rockerboy"; 3; "Großen Auftritt für einen reichen Konzern oder eine lokale Persönlichkeit gespielt"; 300; 500; 800
"Rockerboy"; 4; "Ein paar Tantiemen für deinen jüngsen Data-Pool-Download eingefahren"; 300; 500; 800 
"Rockerboy"; 5; "Eröffnungsnummer für eine bekannte Gruppe"; 300; 500; 800
"Rockerboy"; 6; "Persönlicher Auftritt hat dir ein ordentliches Honorar eingebracht"; 200; 300; 500
"Solo"; 1; "Leibwächterjob, billiger Client"; 100; 200; 500
"Solo"; 2; "Leibwächterjob, Spitzenklient" 200; 300; 600
"Solo"; 3; "Schwieriger Anschlag oder schwierige Extraktion"; 200; 300; 600
"Solo"; 4; "Als Schläger für Schieber, Konzerner oder Gang angeheuert"; 100; 200; 500
"Solo"; 5; "Unnötige Aufmerksamkeit erregt, du musstest untertauchen"; 0; 100; 300
"Solo"; 6; "Einfache Vollstrecker- oder Killerarbeit für einen lokalen Kon"; 100; 200; 500
"Netrunner"; 1; "Ein kleines System geknackt und die Dateien verkauft"; 100; 200; 500
"Netrunner"; 2; "Ein großes Konzernsystem geknackt  und die Dateien verkauft"; 200; 300; 600
"Netrunner"; 3; "Du warst abgelenkt und hast diese Woche nichts gehackt"; 0; 100; 300
"Netrunner"; 4; "Eine wertvolle Datensammlung in einem verlassenen System gefunden und verkauft"; 200; 300; 600
"Netrunner"; 5; "Ein wichtiges System mit Ransomware zum Absturz gebracht und dafür bezahlt worden, sie zu deinstallieren"; 200; 300; 600
"Netrunner"; 6; "Für einen gesichtslosen Klienten ein großes System sabotiert oder auf andere Weise abgeschaltet"; 200; 300; 600
"Tech"; 1; "Keine Jobs diese Woche"; 0; 100; 300
"Tech"; 2; "In der Kriegszone geborgene Tech repariert"; 100; 200; 500
"Tech"; 3; "Einem Klienten geholfen, irgendwo einzubrechen oder für einen Klienten ein Sicherheitssystem eingebaut"; 200; 300; 600
"Tech"; 4; "Modifikationen oder Reparaturen an Cybertech vorgenommen"; 100; 200; 500
"Tech"; 5; "Modifikationen oder Reparaturen an Waffen vorgenommen"; 100; 200; 500
"Tech"; 6; "Für einen Klienten etwas sabotiert oder auf andere Weise außer Funktion gesetzt"; 100; 200; 500
"Meditech"; 1; "Jemanden nach einem Feuergefecht zusammengeflickt"; 100; 200; 500
"Meditech"; 2; "Cyberware von einem 'nicht mehr zu rettenden' medizinischen Fall verkauft"; 200; 300; 600
"Meditech"; 3; "Traume-Team unterstützt, weil es unterbesetzt war"; 100; 200; 500
"Meditech"; 4; "Ein wenig Klinikarbeit 'gratis' gemacht. Kulanz kannst du aber nicht essen"; 0; 100; 300
"Meditech"; 5; "Großen Eingriff bei einem wohlbetuchten Kunden vorgenommen"; 200; 300; 600
"Meditech"; 6; "Medikamente oder Straßendrogen entworfen und an einen Kunden geliefert"; 100; 200; 500
"Media"; 1; "Exposé über ein wichtiges Thema verfasst und ordentlich Reibach gemacht"; 300; 500; 800
"Media"; 2; "Beliebte 'Lobeshymne' verfasst, die ein wenig Aufmerksamkeit und Kohle eingebracht hat"; 200; 300; 600
"Media"; 3; "Langweilige Werbeanzeige geschrieben um die Rechnungen zu bezahlen"; 200; 300; 600
"Media"; 4; "Eine große Story aufgedeckt, die dir ein paar Feinde und etwas Kohle eingebracht hat" 200; 300; 600
"Media"; 5; "Keine guten Stories oder Aufmacher diese Woche"; 0; 100; 300
"Media"; 6; "Exposé geschrieben, das ein wichtiges Thema aufgedeckt hat"; 300; 500; 800
"Lawman"; 1; "Ein paar Verhaftungen wegen Kleinigkeiten vorgenommen. Das Übliche"; 100; 200; 500
"Lawman"; 2; "Belohnung von einem dankbaren Bürger erhalten. Oder war es Bestechung?"; 200; 300; 600
"Lawman"; 3; "Die Verhaftung ist schiefgegangen und du musstest aus eigener Tasche dafür zahlen"; 0; 100; 300
"Lawman"; 4; "Nicht viel passiert diese Woche. Scheck eingesackt, das wars"; 100; 200; 500
"Lawman"; 5; "Große Fische im Drogen- oder Schmuggelgeschäft festgenommen und einen fetten Bonus vom Boss bekommen"; 200; 300; 600
"Lawman"; 6; "Eine große Gang gesprengt und einen Bonus aus der 'privaten Beschlagnahmung' erhalten"; 200; 300; 600
"Corp"; 1; "Einen moderaten Erfolg bei einem Projekt gelandet, Bonuszahlung erhalten"; 300; 500; 800
"Corp"; 2; "Nicht viel passiert, der Konzern war nicht beeindruckt. Einen Bonus verloren"; 0; 100; 300
"Corp"; 3; "Scheck erhalten, das wars"; 200; 300; 600
"Corp"; 4; "Einen Rivalen angeschwärzt und dafür einen Bonus kassiert"; 300; 500; 800
"Corp"; 5; "Erfolg bei einem großen Projekt gehabt und vom Hauptbüro einen Bonus erhalten"; 300; 500; 800
"Corp"; 6; "Ein legitimes Ziel ausgeschaltet, das eine Arbeitsstelle bedroht und deren Finanzen gestohlen hat"; 200; 300; 600
"Fixer"; 1; "Für ein gutes Bestechungsgeld einem Media ein paar Informationen besorgt"; 200; 300; 600
"Fixer"; 2; "Einem Rockster für dein Honorar von 12% einen guten Auftritt verschafft"; 200; 300; 600
"Fixer"; 3; "Einem Klienten geholfen, einen begehrten Gegenstand zu besorgen und einen Anteil kassiert"; 200; 300; 600
"Fixer"; 4; "Deal schiefgegangen. Du hältst den Kopf unten bis Gras über die Sache gewachsen ist"; 0; 100; 300
"Fixer"; 5; "Einem Solo oder Netrunner einen profitablen Job besorgt und deine Vermittlungsgebühr kassiert"; 200; 300; 600
"Fixer"; 6; "Für einen Klienten einen seltenen, illegalen oder schwer zu bekommenden Gegenstand besorgt"; 300; 500; 800
"Nomad"; 1; "Saubere Lieferung erledigt"; 100; 200; 500
"Nomad"; 2; "Lieferung beschützt"; 100; 200; 500
"Nomad"; 3; "Ein bißchen was geschmuggelt"; 100; 200; 500
"Nomad"; 4; "Große Lieferung geschmuggelt"; 200; 300; 600
"Nomad"; 5; "Einen Klienten sicher zum Zielort gebracht"; 100; 200; 500
"Nomad"; 6; "Konntest diese Woche keine Arbeit finden, egal ob sauber oder sonstwie"; 0; 100; 300